Platform,Title,Mode of delivery,Link,Subscribers,Rating,Lectures,Practice tests,Payment type,Published,Price with discount (USD),Price (USD),Topic,Cloudswyft course code,Validity,Certificate,Login required
Udemy,Learn Data Science From Scratch,Online,https://www.udemy.com/course/complete-data-science-course-learn-hands-on-practically/,24857,1.9,5,0,One-time,2019,6.83,129.6,data science,DAT101x,Forever,TRUE,TRUE
Udemy,Master SQL For Data Science,Online,https://www.udemy.com/course/master-sql-for-data-science/,25039,4.62258,48,0,One-time,2018,6.83,129.6,data science,DAT101x,Forever,TRUE,TRUE
Udemy,Learning about Data Science: What & Why?,Online,https://www.udemy.com/course/learning-about-data-science-what-why/,475,4.25,9,0,One-time,2020,6.83,19.2,data science,DAT101x,Forever,TRUE,TRUE
Udemy,Data Science Crash Course,Online,https://www.udemy.com/course/data-science-crash-course/,4,3.0,11,0,One-time,2019,6.83,19.2,data science,DAT101x,Forever,TRUE,TRUE
Udemy,Python for Data Science,Online,https://www.udemy.com/course/top-python-for-data-science-course/,1283,4.45,59,0,One-time,2020,12.0,48.0,data science,DAT101x,Forever,TRUE,TRUE
Udemy,MS Excel Exam Guide: Analyzing and Visualizing Data,Online,https://www.udemy.com/course/analyzing-and-visualizing-data-with-excel/,20395,4.536519999999999,29,0,One-time,2020,6.83,129.6,data science,DAT206x,Forever,TRUE,TRUE
Udemy,70-779:Analyzing & Visualizing Data with Excel:Real Exam MCQ,Online,https://www.udemy.com/course/70-779analyzing-visualizing-data-with-excelreal-exam-mcq/,10,2.125,0,2,One-time,2019,6.83,19.2,data science,DAT206x,Forever,TRUE,TRUE
Udemy,Analyzing and Visualizing Data with Power BI 70-778 Practice,Online,https://www.udemy.com/course/analyzing-and-visualizing-data-with-power-bi-70-778-practice/,41,2.9,0,4,One-time,2020,6.83,120.0,data science,DAT206x,Forever,TRUE,TRUE
Udemy,Data Visualization and Analysis with R,Online,https://www.udemy.com/course/data-visualization-and-analysis-with-r/,1329,4.125,69,0,One-time,2019,6.83,19.2,data science,DAT206x,Forever,TRUE,TRUE
Udemy,Analyzing and Visualizing Data with Microsoft Power BI,Online,https://www.udemy.com/course/analyzing-and-visualizing-data-with-microsoft-power-bi-f/,17,2.375,0,2,One-time,2019,6.83,24.0,data science,DAT206x,Forever,TRUE,TRUE
Udemy,Power BI for Data Visualization and Analysis,Online,https://www.udemy.com/course/power-bi-for-data-visualization/,9500,4.01695,30,0,One-time,2020,6.83,33.6,data science,DAT207x,Forever,TRUE,TRUE
Udemy,"70-778, DA-100: Analyzing and Visualizing Data with Power BI",Online,https://www.udemy.com/course/70-778-analyzing-and-visualizing-data-with-power-bi/,4760,4.539569999999999,211,0,One-time,2020,6.83,129.6,data science,DAT207x,Forever,TRUE,TRUE
