id,price,with_discount,url
0,94.99,13.99,https://www.udemy.com/course/complete-data-science-course-learn-hands-on-practically/
1,94.99,13.99,https://www.udemy.com/course/master-sql-for-data-science/
2,19.99,13.99,https://www.udemy.com/course/learning-about-data-science-what-why/
3,,,https://www.udemy.com/course/data-science-crash-course/
4,49.99,13.99,https://www.udemy.com/course/top-python-for-data-science-course/
5,94.99,13.99,https://www.udemy.com/course/analyzing-and-visualizing-data-with-excel/
6,,,https://www.udemy.com/course/70-779analyzing-visualizing-data-with-excelreal-exam-mcq/
7,39.99,13.99,https://www.udemy.com/course/analyzing-and-visualizing-data-with-power-bi-70-778-practice/
8,19.99,13.99,https://www.udemy.com/course/data-visualization-and-analysis-with-r/
9,,,https://www.udemy.com/course/analyzing-and-visualizing-data-with-microsoft-power-bi-f/
10,34.99,13.99,https://www.udemy.com/course/power-bi-for-data-visualization/
11,94.99,13.99,https://www.udemy.com/course/70-778-analyzing-and-visualizing-data-with-power-bi/
12,94.99,13.99,https://www.udemy.com/course/5-exams-power-bi-70-778-analyzing-and-visualizing-2018/
13,49.99,13.99,https://www.udemy.com/course/the-complete-introduction-to-sql-mysql-for-data-analytics-am/
14,44.99,18.99,https://www.udemy.com/course/beginner-stats/
15,24.99,13.99,https://www.udemy.com/course/data-analytics-fundamentals-with-tableau/
16,24.99,13.99,https://www.udemy.com/course/the-complete-introduction-to-data-analytics-with-tableau/
17,94.99,13.99,https://www.udemy.com/course/70-761-querying-data-with-transact-sql-practice-test-q/
18,19.99,13.99,https://www.udemy.com/course/practice-test-70-761-querying-data-with-transact-sql/
19,,,https://www.udemy.com/course/70-761-querying-data-with-transact-sql-prep-exam/
20,24.99,13.99,https://www.udemy.com/course/70-761-querying-data-with-transact-sql-practice-exams/
21,29.99,13.99,https://www.udemy.com/course/70-761-querying-data-with-transact-sql-practice-tests-2019/
22,44.99,13.99,https://www.udemy.com/course/oracle-sql-for-data-science/
23,19.99,13.99,https://www.udemy.com/course/python-for-data-science-and-machine-learning-beginners/
24,19.99,13.99,https://www.udemy.com/course/python-programming-with-data-science/
25,74.99,13.99,https://www.udemy.com/course/statistics-excel/
26,69.99,13.99,https://www.udemy.com/course/statistical-data-analysis-with-sas/
27,,,https://www.udemy.com/course/analyzing-big-data-with-microsoft-r-certification-for-2018/
28,19.99,13.99,https://www.udemy.com/course/learn-basics-of-big-data/
29,19.99,13.99,https://www.udemy.com/course/big-data-cognitel/
